Name,Price,Specifications
Redmi 8 ,"Rs.7,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB, 15.8 cm (6.22 inch) HD+ Display, 12MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Qualcomm Snapdragon 439 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Redmi 8 ,"Rs.7,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB, 15.8 cm (6.22 inch) HD+ Display, 12MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Qualcomm Snapdragon 439 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Infinix Hot 8 ,"Rs.6,999","4 GB RAM | 64 GB ROM |, 16.56 cm (6.52 inch) HD+ Display, 13MP + 2MP + Low Light Sensor | 8MP Front Camera, 5000 mAh Li-ion Polymer Battery, Helio P22 (MTK6762) Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Infinix Hot 8 ,"Rs.6,999","4 GB RAM | 64 GB ROM |, 16.56 cm (6.52 inch) HD+ Display, 13MP + 2MP + Low Light Sensor | 8MP Front Camera, 5000 mAh Li-ion Polymer Battery, Helio P22 (MTK6762) Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Infinix Hot 8 ,"Rs.6,999","4 GB RAM | 64 GB ROM |, 16.56 cm (6.52 inch) HD+ Display, 13MP + 2MP | 8MP Front Camera, 5000 mAh Li-ion Polymer Battery, Helio P22 (MTK6762) Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 5 ,"Rs.10,999","4 GB RAM | 128 GB ROM | Expandable Upto 256 GB, 16.51 cm (6.5 inch) HD+ Display, 12MP + 8MP + 2MP + 2MP | 13MP Front Camera, 5000 mAH Battery, Qualcomm Snapdragon 665 2 GHz Processor, Fingerprint, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 5 ,"Rs.8,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB, 16.51 cm (6.5 inch) HD+ Display, 12MP + 8MP + 2MP + 2MP | 13MP Front Camera, 5000 mAH Battery, Qualcomm Snapdragon 665 2 GHz Processor, Fingerprint, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 5 ,"Rs.10,999","4 GB RAM | 128 GB ROM | Expandable Upto 256 GB, 16.51 cm (6.5 inch) HD+ Display, 12MP + 8MP + 2MP + 2MP | 13MP Front Camera, 5000 mAH Battery, Qualcomm Snapdragon 665 2 GHz Processor, Fingerprint, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 5 ,"Rs.8,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB, 16.51 cm (6.5 inch) HD+ Display, 12MP + 8MP + 2MP + 2MP | 13MP Front Camera, 5000 mAH Battery, Qualcomm Snapdragon 665 2 GHz Processor, Fingerprint, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Redmi 8A ,"Rs.6,999","3 GB RAM | 32 GB ROM | Expandable Upto 512 GB, 15.8 cm (6.22 inch) HD+ Display, 12MP Rear Camera | 8MP Front Camera, 5000 mAh Battery, Qualcomm Snapdragon 439 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Redmi 8A ,"Rs.6,499","2 GB RAM | 32 GB ROM | Expandable Upto 512 GB, 15.8 cm (6.22 inch) HD+ Display, 12MP Rear Camera | 8MP Front Camera, 5000 mAh Battery, Qualcomm Snapdragon 439 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme XT ,"Rs.15,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.26 cm (6.4 inch) Display, 64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera, 4000 mAh Battery, Qualcomm 712 Processor, FHD+ Super AMOLED Display, In Display Fingerprint Sensor, Brand warranty of 1 year for mobile and 6 months for accessories"
Realme 3 Pro ,"Rs.12,999","6 GB RAM | 128 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 5MP | 25MP Front Camera, 4045 mAh Battery, Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor, Dual Nano SIM Slot and Memory Card Slot, VOOC Flash Charge 3.0, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Niamia Cad V,Rs.999,"32 MB RAM | 32 MB ROM |, 4.57 cm (1.8 inch) Display, 0.08MP Rear Camera, 1000 mAh Battery, 10 Days Replacement Warranty"
Realme 3 Pro ,"Rs.12,999","6 GB RAM | 128 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 5MP | 25MP Front Camera, 4045 mAh Battery, Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor, VooC Flash Charge 3.0, Dual Nano SIM Slot and Memory Card Slot, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 3 Pro ,"Rs.11,999","6 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 5MP | 25MP Front Camera, 4045 mAh Battery, Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor, VooC Flash Charge 3.0, Dual Nano SIM Slot and Memory Card Slot, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 3 Pro ,"Rs.9,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 5MP | 25MP Front Camera, 4045 mAh Battery, Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor, Dual Nano SIM Slot and Memory Card Slot, VOOC Flash Charge 3.0, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 3 Pro ,"Rs.11,999","6 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 5MP | 25MP Front Camera, 4045 mAh Battery, Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor, Dual Nano SIM Slot and Memory Card Slot, VOOC Flash Charge 3.0, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme XT ,"Rs.18,999","8 GB RAM | 128 GB ROM | Expandable Upto 256 GB, 16.26 cm (6.4 inch) Display, 64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera, 4000 mAh Battery, Qualcomm 712 Processor, FHD+ Super AMOLED Display, In Display Fingerprint Sensor, Brand warranty of 1 year for mobile and 6 months for accessories"
Detel D1 Guru,Rs.649,"32 MB RAM | 32 MB ROM |, 4.57 cm (1.8 inch) Display, 0.3MP Rear Camera, 1000 mAh Battery, 1 Year Warranty"
Realme XT ,"Rs.15,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.26 cm (6.4 inch) Display, 64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera, 4000 mAh Battery, Qualcomm 712 Processor, FHD+ Super AMOLED Display, In Display Fingerprint Sensor, Brand warranty of 1 year for mobile and 6 months for accessories"
Redmi 8A ,"Rs.6,499","2 GB RAM | 32 GB ROM | Expandable Upto 512 GB, 15.8 cm (6.22 inch) HD+ Display, 12MP Rear Camera | 8MP Front Camera, 5000 mAh Battery, Qualcomm Snapdragon 439 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Realme 3 Pro ,"Rs.9,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 5MP | 25MP Front Camera, 4045 mAh Battery, Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor, VooC Flash Charge 3.0, Dual Nano SIM Slot and Memory Card Slot, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Detel D1 MAX,"Rs.1,049","32 MB RAM | 512 MB ROM |, 7.11 cm (2.8 inch) Display, 0.3MP Rear Camera, 1500 mAh Battery, 1 Year Warranty"
